N,P,K,temperature,humidity,ph,rainfall,label,soil type,indian state,region
26.35546701889104,22.335953087540805,30.998485693246387,15.09263077887365,87.51612967791137,6.746294144985141,129.82551614867438,guava,loamy,Uttar Pradesh,East
38.94266520805773,12.661089936471166,49.4087275827076,32.85921587689958,57.243104213436276,5.850366974801468,161.07360743890473,guava,loamy,Punjab,South
26.57375669321091,15.959294258479016,36.40822709782615,29.949638247809396,86.63397013628905,5.719816355252245,44.04774817519886,watermelon,silty,Tamil Nadu,West
13.167989399415477,11.546531524793275,19.90356520324303,15.998744787004009,64.95059455391818,7.072534791018695,151.70651547726357,apple,clay,Rajasthan,East
31.426268515384432,22.918857912354028,20.202375749658437,33.27694692467378,78.0304022806221,5.808659057571646,85.86966914495355,banana,silty,Bihar,North
32.54825883682275,5.334793948705041,26.494806592069903,23.20699387424558,85.56134563626762,7.074137855954276,78.61053518883693,muskmelon,laterite,Gujarat,West
18.77080971050269,11.138336487154806,28.123173338319347,20.163491683655728,78.98024174742515,6.650540287862631,140.0737098239474,grapes,silty,Punjab,Central
19.111280607917315,13.713638263450967,48.25623145931426,25.436365363037723,57.69368269918098,5.904782117909948,82.94390787896643,pomegranate,clay,Kerala,South
10.031494886603035,6.2252365838334045,47.17984580263704,34.530939660157046,61.35314643815097,6.971754899714504,179.18698452421324,muskmelon,laterite,Kerala,South
21.44051392865989,20.768700414553283,43.46146246840702,28.804106393648503,57.334566367723355,7.17187090212915,20.52978301924503,mango,loamy,Punjab,North
39.6498638445652,7.1290648727556345,24.197526422231896,31.591404601022237,76.33938521778242,6.977325407053,42.78653406715959,guava,clay,Punjab,South
25.973558974876873,16.293728547452893,18.83962987887006,22.962572357950847,73.69741038764803,5.605069693441429,163.95128715737175,guava,loamy,Punjab,South
36.469493399401586,11.775184666402819,18.98012819608833,25.359218658953772,53.173958559233625,5.781387421862702,123.38125682359626,mango,loamy,Karnataka,North
18.099884631394957,12.480140804123339,33.50940922389863,20.21180242396153,62.19939513209898,7.330226013682686,198.99284134905497,papaya,loamy,Maharashtra,West
31.81826997022398,8.3117261707556,25.02058738498478,18.07573530543146,83.22644730030854,5.62460497674416,161.2697434157355,apple,clay,Tamil Nadu,Central
22.624329840673212,20.066611332585893,16.786871075256546,34.25809211537534,82.07102052603119,5.532473079979344,179.6711273674331,grapes,sandy,Andhra Pradesh,Central
15.105572036027151,20.517626040625558,44.12069277772528,26.71656144035607,79.07856924452337,6.767119689168021,196.65038170624973,papaya,clay,Kerala,North
12.998727241738269,18.26741713960589,17.787058803819804,22.78484134888392,85.993986124669,5.8182135778496,116.19719644891089,guava,sandy,Rajasthan,North
